address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Aurora,Santa Ifigênia,31,1,0,Studio e kitnet,1075,1393,-23.5379264,-46.6370485
Rua Torquato Tasso,Vila Prudente,60,2,0,Casa,1700,1773,-23.5841611,-46.5758843
Avenida Júlio Prestes,Vila Galvão,65,2,1,Apartamento,1500,2110,-23.4604137,-46.5589656
Rua Arnaldo Cintra,Vila Moreira,50,2,1,Apartamento,2500,2950,-23.5277539,-46.5611838
Rua Maranjaí,Vila Monumento,32,1,0,Casa,750,782,-23.5798817,-46.6154177
Rua Oscar Cintra Gordinho,Liberdade,25,1,0,Studio e kitnet,850,1102,-23.552991,-46.6275366
Rua Manuel Leiroz,Vila Penteado,31,1,0,Apartamento,1500,1928,-23.5137743,-46.5203076
Rua Itapeti,Vila Alpina,42,1,1,Apartamento,1600,2066,-23.651843,-46.5436217
Rua Helena Zerrener,Liberdade,23,1,0,Studio e kitnet,753,1162,-23.5534568,-46.6286629
Rua Antonieta,Picanço,60,2,1,Casa,1700,1857,-23.4439345,-46.5445973
Rua Natividade Saldanha,São Lucas,22,0,0,Studio e kitnet,900,1126,-23.59294,-46.5565614
Rua Virginópolis,Sacomã,80,2,1,Casa,2426,2529,-23.6151641,-46.5995056
Avenida Joaquina Ramalho,Vila Guilherme,34,1,0,Studio e kitnet,1250,1416,-23.5125174,-46.6066366
Rua Coronel Mursa,Brás,19,1,0,Studio e kitnet,1700,2016,-23.548639,-46.6163579
Rua da Glória,Liberdade,28,1,0,Studio e kitnet,2000,2327,-23.5564179,-46.6341737
Rua Sete Barras,Vila Moinho Velho,70,2,1,Apartamento,3218,3832,-22.8131475,-43.1831246
Rua Doutor Raul da Rocha Medeiros,Tatuapé,52,2,1,Apartamento,3800,4672,-23.5347406,-46.5628588
Rua Alencar Araripe,Sacomã,50,2,1,Apartamento,1712,2486,-23.6136667,-46.5971237
Rua Cônego Vicente Miguel Marino,Barra Funda,38,1,1,Apartamento,2400,2953,-23.5266013,-46.6540593
Rua Doutor Fleury Silveira,Vila Santa Maria,23,1,1,Casa,700,855,-23.4896093,-46.670416
Rua Hermínio Lemos,Cambuci,15,1,0,Studio e kitnet,1150,1194,-23.5676498,-46.6229699
Rua Doutor Bento Teobaldo Ferraz,Várzea da Barra Funda,31,1,0,Apartamento,2100,2429,-23.5248504,-46.6711222
Avenida Doutor Bernardino Brito Fonseca de Carvalho,Vila Talarico,62,3,1,Apartamento,1700,2217,-23.531677,-46.5212241
Rua do Tatuapé,Maranhão,32,1,0,Apartamento,1550,1795,-23.5306814,-46.5629722
Rua Monsenhor Francisco de Paula,Vila Aricanduva,46,2,0,Apartamento,1799,1928,-23.5362241,-46.5398327
Rua Doutor Artur Rudge Ramos,Vila Caminho do Mar,98,2,1,Casa,1700,1841,-23.665122,-46.567362
Rua Marquês Maricá,Sacomã,38,1,0,Studio e kitnet,1030,1053,-23.6140288,-46.5982077
Rua Nossa Senhora Acheropita,Vila Santa Clara,42,1,1,Casa,1600,1715,-23.5798603,-46.5680818
Rua Tanque Velho,Vila Nivi,42,2,0,Casa em condomínio,1500,1625,-23.4804217,-46.5926675
Avenida dos Ourives,Jardim São Savério,41,2,0,Apartamento,1300,1750,-23.6539478,-46.6124891
Rua Olímpio Portugal,Mooca,38,1,1,Apartamento,1550,1913,-23.5562916,-46.601464
Avenida Monteiro Lobato,Macedo,28,1,1,Studio e kitnet,2100,2495,-23.4647321,-46.5129203
Rua Abrahão Calux,Vila Moinho Velho,59,2,1,Apartamento,2200,2861,-20.491381,-54.582415
Avenida Prestes Maia,Centro,37,1,0,Studio e kitnet,1100,1918,-23.6256228,-45.4144986
Rua Fonseca da Costa,Bosque da Saúde,209,3,2,Casa,6000,6674,-23.6212296,-46.6255767
Rua Afonso Morsch,Vila Constança,75,2,1,Casa em condomínio,4000,4067,48.96196,8.29785
Rua Bartholomeu do Canto,Vila Palmeiras,31,1,0,Apartamento,1700,2166,-23.5027205,-46.6859103
Rua Natividade Saldanha,São Lucas,19,0,0,Studio e kitnet,850,1052,-23.59294,-46.5565614
