address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Doutor Cesário Mota Júnior,Vila Buarque,27,1,0,Apartamento,1401,1835,-23.5456199,-46.6489416
Rua Edmundo Juventino Fuentes,Parque Tomas Saraiva,60,2,1,Apartamento,1950,2527,-23.5843443,-46.5365583
Rua Francisco Coimbra,Penha de França,50,2,1,Apartamento,1860,2563,-23.5228991,-46.5410757
Avenida Alberto Fontana,Jardim Celeste,56,2,1,Apartamento,1600,2152,-23.6568666,-46.6134493
Rua Cristovão Bezerra Dantas,Parque Vitória,64,1,0,Casa,1236,1337,-23.4717802,-46.5940258
Rua Assungui,Vila Gumercindo,120,3,3,Apartamento,5900,7581,-23.6071179,-46.6177397
Avenida Salgado Filho,Centro,49,2,1,Apartamento,1716,2327,-23.465254,-46.530225
Avenida Avelino Alves Machado,Jardim Pinhal,70,2,1,Casa,1299,1414,-23.4554781,-46.5271914
Avenida Professor Luiz Ignácio Anhaia Mello,Vila Graciosa,32,1,0,Studio e kitnet,1312,1703,-23.592198,-46.5411463
Rua Amapá,Vila Canero,60,2,1,Apartamento,4000,4507,0.0935232,-51.1098576
Rua Dom Bernardo Nogueira,Vila Gumercindo,53,2,1,Apartamento,3200,4080,-23.6076572,-46.6236725
Rua Alexandre Benois,Vila Andrade,65,3,2,Apartamento,2890,3609,-23.6355328,-46.7378303
Rua Albino Boldasso Gabril,Vila Cruzeiro,44,0,0,Studio e kitnet,1400,1598,-23.6425874,-46.7134716
Rua Emílio Ribas,Jardim Pazini,80,2,0,Apartamento,1550,1640,-23.6034566,-46.7542713
Rua Artur Bernardes,Vila Invernada,34,1,0,Apartamento,1450,1606,-22.9286684,-43.1779016
Rua Francisca Maria de Souza,Tucuruvi,52,2,1,Casa em condomínio,2000,2411,-23.4844332,-46.5978104
Rua Henrique Braglia,Vila Dom Pedro Ii,55,2,1,Apartamento,2100,2668,-23.4909814,-46.6066022
Rua Mandioré,Vila Formosa,30,1,0,Studio e kitnet,800,901,-23.569454,-46.5474949
Rua Floresto Bandecchi,Jaguaré,49,2,1,Apartamento,1150,1879,-23.5457274,-46.7511486
Avenida Joaquina Ramalho,Vila Guilherme,42,1,0,Studio e kitnet,1500,1677,-23.5125174,-46.6066366
Rua Ibitirama,Vila Prudente,65,3,1,Apartamento,2500,3052,-23.5823178,-46.5853328
Rua Santo Egídio,Santa Teresinha,54,2,1,Apartamento,1503,2348,-23.4934275,-46.6366947
Rua Caetano Pinto,Brás,28,1,0,Apartamento,1750,2178,-23.5463504,-46.62279
Rua Galeão Coutinho,Vila Marina,70,1,0,Casa,1210,1262,-23.4822278,-46.7035541
Rua da Mooca,Mooca,57,2,0,Apartamento,2100,2697,-23.5555141,-46.6002032
Rua Curupá,Vila Formosa,70,3,1,Apartamento,2745,3986,-23.5619987,-46.5543776
Avenida Brigadeiro Luís Antônio,Bela Vista,40,1,1,Studio e kitnet,2850,3707,-23.5617846,-46.6445133
Rua Celso Ramos,Vila Andrade,48,2,1,Apartamento,2100,2557,-23.6271985,-46.7467432
Rua Peixoto Gomide,Jardim Paulista,31,1,0,Studio e kitnet,2100,2481,-23.5608957,-46.6570937
Rua Antônio de Godói,Centro,53,2,0,Apartamento,2500,3032,-22.7822515,-46.5920097
Avenida Itaboraí,Bosque da Saúde,55,2,1,Apartamento,2300,3396,-23.6089,-46.6265542
Rua Professor Arnaldo João Semeraro,Jardim Santa Emília,61,2,1,Apartamento,1300,1919,-23.649409,-46.5997873
Rua Dionísio da Costa,Vila Mariana,33,1,1,Studio e kitnet,3000,4040,-23.5896869,-46.6259813
Rua Coronel Amaro Sobrinho,Vila Carrao,80,2,1,Casa,1650,1720,-23.5545645,-46.5219046
Rua Cerqueira César,Centro,30,1,0,Studio e kitnet,1100,1422,-21.1800816,-47.809208
Rua Marie Nader Calfat,Jardim Ampliação,60,2,1,Apartamento,2684,3728,-23.6276937,-46.7297786
Rua das Ameixas,Vila Cruz das Almas,120,3,1,Casa,2000,2085,-22.978515,-43.3353897
Avenida Corifeu de Azevedo Marques,Butantã,30,1,0,Studio e kitnet,1200,1266,-23.5740143,-46.7342956
Rua Aguiar de Barros,Bela Vista,16,1,0,Studio e kitnet,2950,3378,-23.5538383,-46.6398149
Rua Visconde de Parnaíba,Jardim Brasília (zona Norte),38,2,0,Apartamento,1970,2496,-23.5467995,-46.6081466
Praça Dom Francisco de Souza,Santo Amaro,53,2,1,Apartamento,3200,3963,-23.6617663,-46.70598091232318
Rua José Bonifácio,Vila Galvão,60,2,2,Apartamento,1807,2585,-23.4612029,-46.5667078
Rua Benedito Fernandes,Santo Amaro,52,2,1,Apartamento,1700,2432,-23.6622932,-46.7093449
Rua Ernani Pinto,Vila Maria Alta,64,3,2,Apartamento,1650,2452,-23.5031395,-46.5929078
Rua Pereira Barreto,Santo Amaro,66,2,2,Apartamento,4500,5289,-23.6571932,-46.7037365
Rua Dona Vitu Giorgi,Jardim Leonor,44,2,1,Apartamento,1879,2391,-23.6057798,-46.7252443
Rua Visconde de Parnaíba,Brás,26,1,0,Studio e kitnet,1350,1722,-23.5447101,-46.605292
Rua Natividade Saldanha,São Lucas,29,0,0,Studio e kitnet,1150,1452,-23.59294,-46.5565614
Rua Antônio Júlio dos Santos,Morumbi,55,2,1,Apartamento,1454,2019,-23.6088928,-46.7241386
Rua Maria Zélia,Piqueri,30,1,1,Casa,1550,1624,-23.5030391,-46.7122887
Avenida Washington Luís,Jardim Aeroporto,55,1,0,Apartamento,1500,2064,-3.7175195,-38.5895702
Avenida Brigadeiro Luís Antônio,Bela Vista,42,1,1,Apartamento,3300,3856,-23.5617846,-46.6445133
Rua Barão do Serro Largo,Vila Regente Feijó,150,3,1,Casa,3400,3960,-23.5528937,-46.5696589
Rua Salvador Tolezano,Parque Mandaqui,65,2,1,Apartamento,1650,2183,-23.4667479,-46.6396661
Avenida Professor Francisco Morato,Vila Sônia,84,3,2,Apartamento,3500,4349,-23.587101,-46.7257507
Avenida Emílio Ribas,Jardim Tijuco,57,2,1,Apartamento,2000,2568,-22.7239565,-45.5756517
Rua Cônego Vicente Miguel Marino,Barra Funda,40,2,0,Apartamento,2200,2704,-23.5266013,-46.6540593
Rua Ourânia,Vila Madalena,72,2,1,Apartamento,4300,5200,-23.553528,-46.6991526
Rua Raul Pompéia,Vila Pompéia,72,3,2,Apartamento,4600,6359,-23.5308682,-46.6882303
Rua Descampado,Vila Vera,74,3,2,Apartamento,4000,4913,-23.6227327,-46.6052602
Rua do Lavapés,Liberdade,26,1,0,Apartamento,1550,1880,-23.5598266,-46.6302806
Praça Doutor Mário Margarido,Liberdade,35,1,0,Studio e kitnet,750,1195,-23.555078,-46.6288103
Avenida Bartolomeu de Carlos,Picanço,38,1,1,Apartamento,2010,2652,-23.4416602,-46.541963
Avenida Duque de Caxias,Campos Elíseos,26,1,0,Studio e kitnet,2500,2910,-22.7847817,-43.308287
Rua Luís Coelho,Consolação,52,1,0,Apartamento,2800,3423,-23.5565553,-46.6594056
Avenida Capitão Mário Toledo de Camargo,Silveira,73,3,1,Apartamento,1747,2242,-23.6644747,-46.5130675
Rua Peixoto Gomide,Jardim Paulista,30,1,0,Studio e kitnet,1850,2429,-23.5608957,-46.6570937
Rua Avanhandava,Bela Vista,29,1,0,Studio e kitnet,2600,3206,-23.5523179,-46.6480901
Rua Ângela Tomé,Rudge Ramos,55,2,1,Apartamento,2600,3609,-23.6556409,-46.574395
Avenida Prestes Maia,Centro,22,1,0,Studio e kitnet,1200,1247,-23.6256228,-45.4144986
Rua Paim,Bela Vista,32,1,1,Studio e kitnet,2300,2894,-23.5548176,-46.6490388
Rua Torres da Barra,Água Branca,33,1,1,Apartamento,2280,2806,-23.5141046,-46.6868077
Rua Xingu,Vila Valparaíso,45,2,1,Apartamento,2700,3146,-23.6714605,-46.5514111
Rua Bruna,Chácara Mafalda,42,2,1,Apartamento,1600,1963,-23.5659516,-46.5586627
Avenida São João,Santa Cecilia,35,0,0,Studio e kitnet,935,1348,-23.5352463,-46.6531381
Rua Antônio Neto Caldeira,Vila Antonieta,47,2,1,Apartamento,2000,2226,-23.5748573,-46.5170512
Rua Ribeiro de Barros,Lapa,64,2,1,Apartamento,3450,4554,-23.5308435,-46.6922855
Rua Getúlio Vargas Filho,Cidade Vargas,45,2,0,Apartamento,2151,2544,-23.6462177,-46.6332427
Largo do Arouche,República,34,1,0,Studio e kitnet,2100,2756,-23.5410441,-46.64537328059034
Rua Álvaro de Carvalho,Bela Vista,32,1,0,Studio e kitnet,1200,1660,-23.5484662,-46.6404301
Rua dos Estudantes,Sé,28,1,0,Apartamento,2600,3130,-23.5555266,-46.6346329
Rua Doutor Augusto César,Vila Rui Barbosa,90,2,3,Casa,2500,2642,-23.5117957,-46.5247907
Rua Ulisses Paschoal,Jardim Lourdes (zona Sul),15,1,0,Studio e kitnet,882,1009,-9.339213,-50.34298
Rua Leôncio da Costa Vieira,Jardim Piqueroby,35,1,0,Studio e kitnet,2800,3038,-23.5722182,-46.5290265
Rua Borges Lagoa,Vila Clementino,45,1,1,Apartamento,4100,5317,-23.5972377,-46.6412485
Avenida Nossa Senhora do Lorêto,Vila Medeiros,28,1,0,Studio e kitnet,1000,1038,-23.4899448,-46.585242
Avenida Jaguaré,Jaguaré,49,2,0,Apartamento,1500,1938,-23.5538495,-46.7429819
Rua Jordânia,Vila Guilhermina,75,3,2,Casa em condomínio,3600,3943,-23.5328982,-46.5144538
Rua Corinto de Toledo,Parque Jabaquara,135,3,4,Casa,6500,7051,-23.6397414,-46.6545891
Rua Doutor Solon Fernandes,Vila Rosália,57,2,1,Apartamento,1850,2410,-23.448761,-46.5577854
Avenida Moema,Moema,45,1,1,Apartamento,3700,5155,-23.6032952,-46.6601685
Rua Brigadeiro Tobias,Centro,30,1,0,Studio e kitnet,2300,2905,-22.4370711,-46.8193358
Rua Demini,Penha de França,51,2,1,Apartamento,2500,3096,-23.5300394,-46.5324573
Avenida Raimundo Pereira de Magalhães,Jardim Íris,44,2,1,Apartamento,1800,2219,-23.4855686,-46.7246819
Avenida Itaberaba,Nossa Senhora do Ó,54,2,1,Apartamento,1750,2518,-23.4978094,-46.6980507
Avenida Vereador Abel Ferreira,Vila Regente Feijó,28,1,0,Studio e kitnet,1133,1265,-23.555544,-46.5748627
Rua João Passalaqua,Bela Vista,23,1,0,Studio e kitnet,1300,1317,-23.552838,-46.6459556
Alameda Lorena,Jardim Paulista,42,1,1,Apartamento,3500,4699,-23.1338322,-46.5594504
Avenida Sapopemba,Jardim Adutora,32,2,0,Apartamento,1521,1789,-23.6108277,-46.5041976
Rua Andrade Reis,Mooca,34,1,0,Studio e kitnet,2060,2440,-23.5559103,-46.6196431
Rua Glicério,Liberdade,50,2,1,Apartamento,3000,3745,-23.5598117,-46.6311518
Rua Frei Caneca,Consolação,43,1,0,Apartamento,2900,3524,-23.5531867,-46.6521291
Rua Doutor Plínio Barreto,Bela Vista,48,1,1,Apartamento,2078,2575,-23.5575749,-46.6521241
Rua Bicudo de Brito,Vila Guarani (z Sul),45,2,0,Apartamento,1538,1797,-23.6392091,-46.6376577
Rua Alexandre Benois,Vila Andrade,65,3,1,Apartamento,2800,3579,-23.6355328,-46.7378303
Rua do Boqueirão,Saúde,62,2,1,Apartamento,3500,4079,-23.6225155,-46.6122127
Avenida João Dias,Santo Amaro,75,2,0,Apartamento,3000,3486,-23.6461864,-46.708651
Avenida Ministro Petrônio Portela,Vila Amélia,67,2,1,Apartamento,1449,2065,-23.483989,-46.6953288
Rua Barros Sobrinho,Vila Ema,60,2,1,Apartamento,2900,3898,-8.0857561,-34.9319094
Rua Doutor Morais Dantas,Vila Barbosa,39,1,1,Apartamento,1500,1967,-23.5000948,-46.6721199
Rua Soror Angélica,Vila Ester (zona Norte),120,3,1,Casa,2856,3019,-23.5027414,-46.643824
Rua José Bento,Cambuci,34,1,0,Apartamento,1340,1786,-23.5634221,-46.6164939
Avenida Belisário Pena,Vila Maria Alta,30,1,0,Casa em condomínio,800,885,-23.4969452,-46.5831355
Rua dos Banqueiros,Vila Bancária,42,2,0,Apartamento,899,1004,-23.588668,-46.5232022
"Vila Rio de Janeiro, Guarulhos - Sp, 07082-610, Brasil",Vila Rio de Janeiro,43,2,1,Apartamento,1400,1804,-24.309079,-48.94423
Alameda Ribeirão Preto,Bela Vista,70,2,0,Apartamento,2750,3741,-23.5618655,-46.651964
Rua Caetano Pinto,Brás,27,1,0,Apartamento,1836,2237,-23.5463504,-46.62279
Avenida Professor Miguel Franchini Neto,Loteamento City Jaragua,43,2,0,Apartamento,1500,2000,-23.4422601,-46.7242507
Rua Poetisa Colombina,Jardim Bonfiglioli,70,3,1,Apartamento,3750,4716,-23.5795722,-46.7395896
Rua Estado de Israel,Vila Clementino,48,1,1,Apartamento,2100,3289,-23.5945594,-46.6424322
Rua Heitor Penteado,Sumarezinho,49,2,1,Apartamento,2550,3163,-23.5461784,-46.6911614
Avenida Ítalo Brasileiro Piva,Picanço,76,3,0,Apartamento,2100,2771,-23.4480468,-46.5472524
Rua Nelson Gama de Oliveira,Vila Andrade,32,1,1,Apartamento,1000,1999,-23.631629,-46.7366809
Rua Doutor José Pedro de Carvalho Lima,Jardim Parque Morumbi,40,2,1,Apartamento,1400,1854,-23.6228742,-46.7286428
Rua Marquês de Itu,Vila Buarque,30,1,0,Studio e kitnet,980,1418,-23.5438283,-46.6470607
Rua Curupace,Mooca,267,3,4,Casa,9000,9931,-23.5598733,-46.5977889
Rua Poconé,Vila Floresta,73,3,1,Apartamento,2200,2764,-23.6711235,-46.5464468
Rua Açatunga,Vila Congonhas,166,2,1,Casa,4500,4575,-23.6237814,-46.6638038
Praça Japuba,Alto de Pinheiros,50,2,1,Apartamento,2500,3633,-23.54109365,-46.706440400526205
Rua Guirá-acangatara,Jardim Sao Francisco (zona Leste),48,2,1,Apartamento,1474,1856,-23.4983354,-46.5256921
Rua Dom José Marcondes,Jardim Almanara,40,2,1,Apartamento,1300,1944,-23.2659655,-45.9469531
Rua Tomé de Lara,Tucuruvi,40,2,0,Apartamento,2200,2284,-23.4793839,-46.6090902
Avenida Comandante Antônio Paiva Sampaio,Parque Vitória,53,2,1,Apartamento,2172,2859,-23.4718377,-46.5962835
Rua Alexandrino da Silveira Bueno,Cambuci,41,2,0,Apartamento,2300,2749,-23.5658871,-46.6155755
Rua Vergueiro,Vila Firmiano Pinto,57,2,1,Apartamento,1323,2037,-23.6058329,-46.6143385
Rua Cipriano Barata,Ipiranga,53,2,1,Apartamento,2700,3563,-23.575894,-46.6063864
Rua Doutor Cesário Mota Júnior,Santa Cecilia,24,1,0,Studio e kitnet,1300,1863,-23.5426328,-46.6488531
Rua Antônio Abude,Jardim Barbosa,70,2,1,Apartamento,1800,2385,-23.4630072,-46.5242404
Rua Barão do Bananal,Vila Pompéia,69,2,1,Apartamento,2975,4271,-23.5295372,-46.6859049
Avenida Cotovia,Indianópolis,31,1,1,Studio e kitnet,3500,4138,-23.6080215,-46.6698526
Rua José Fernandes Caldas,Vila Santa Teresa (zona Sul),63,2,1,Apartamento,1900,2415,-23.6488398,-46.601026
Avenida Damasceno Vieira,Jardim Jabaquara,70,2,1,Apartamento,2200,3249,-23.6422121,-46.6608024
Rua Abelardo Pinto,Centro,37,1,0,Studio e kitnet,1224,1688,-22.1930795,-46.7498055
Rua Professor José Soares de Mello,Jardim Centenario,42,2,1,Apartamento,1700,2224,-23.4693167,-46.6671713
Rua Doutor Nicolau de Sousa Queirós,Vila Mariana,50,2,0,Apartamento,2200,2964,-23.5779865,-46.6403002
Rua Ouro Branco,Jardim Paulista,38,1,1,Apartamento,1850,3249,-23.5708684,-46.661688
Rua Augusta,Consolação,41,1,1,Studio e kitnet,2750,3831,-23.5556542,-46.6576028
Rua Aguiar de Barros,Bela Vista,31,1,0,Apartamento,3500,4096,-23.5538383,-46.6398149
Avenida Cupecê,Jardim Prudência,65,2,1,Apartamento,2100,3027,-23.6710373,-46.6465404
Rua Arnaldo Cintra,Vila Moreira,52,3,1,Apartamento,2100,2832,-23.5277539,-46.5611838
Rua Ciro Costa,Perdizes,30,1,1,Studio e kitnet,2300,3141,-23.531786,-46.6750583
Rua Doutor Albuquerque Lins,Santa Cecília,63,0,0,Studio e kitnet,1600,2186,-23.5314992,-46.6528609
Rua Caetanópolis,Jaguaré,65,3,1,Apartamento,2200,2850,-23.5472237,-46.7551343
Rua Vicenzo Paciulo,Jardim Las Vegas,80,3,2,Apartamento,1800,2745,-20.410581,-54.594743
Rua Mariquinha Viana,Vila Aurora (zona Norte),70,2,1,Apartamento,1800,2623,-23.481329,-46.6282025
Rua Frei Caneca,Consolação,29,1,1,Studio e kitnet,1940,2631,-23.5531867,-46.6521291
Avenida Duque de Caxias,Campos Elíseos,39,1,0,Studio e kitnet,1955,2390,-22.7847817,-43.308287
Rua Jeroaquara,Vila Romana,72,2,1,Apartamento,3910,4827,-23.5252169,-46.702155
Avenida Diógenes Ribeiro de Lima,Alto de Pinheiros,66,3,1,Apartamento,4240,4877,-23.5487718,-46.710074
Avenida Parada Pinto,Vila Nova Cachoeirinha,55,2,1,Apartamento,3200,3803,-23.4675453,-46.6427523
Rua Álvaro de Carvalho,Centro,25,1,0,Studio e kitnet,2500,3047,-22.7391165,-47.6482136
Rua Paulo César,Vila Mazzei,55,2,2,Apartamento,2100,2811,-23.467461,-46.6017388
Avenida Guarulhos,Ponte Grande,52,2,1,Apartamento,2300,2761,-23.5037826,-46.5520524
Rua Azevedo Soares,Vila Gomes Cardim,55,2,1,Apartamento,3500,4271,-23.5500163,-46.5721621
Rua Baluarte,Vila Olímpia,72,1,1,Apartamento,6000,7398,-23.6005644,-46.6753141
Rua Marquês de Valença,Alto da Mooca,79,3,2,Apartamento,3000,4228,-22.9210007,-43.2257959
Rua Francisco Tapajós,Vila Santo Estefano,56,2,1,Apartamento,2000,2988,-23.6256442,-46.627763
Rua Quintana,Cidade Monções,58,1,1,Apartamento,2800,5402,-23.6021036,-46.693695
Rua Leôncio da Costa Vieira,Jardim Piqueroby,45,2,0,Apartamento,3100,3350,-23.5722182,-46.5290265
Rua Ribeiro de Lima,Bom Retiro,114,2,0,Apartamento,2500,3388,-23.5319092,-46.6348449
R. Coronel Bento Bicudo 1167,Piqueri,59,2,1,Apartamento,1700,2400,-23.5074049,-46.7081313
Rua Otto de Alencar,Liberdade,42,2,1,Apartamento,1850,2311,-23.5590367,-46.6247829
Avenida Monte Celeste,Vila Santa Maria,57,2,2,Apartamento,1900,2648,-23.4931789,-46.6751173
Rua Dias da Silva,Vila Maria,67,2,1,Apartamento,3300,3932,-23.5231496,-46.5920401
Avenida General Olímpio da Silveira,Santa Cecília,45,2,0,Apartamento,1745,2247,-23.5319428,-46.6587402
Rua Álvaro de Carvalho,Centro,32,1,1,Apartamento,1600,2152,-22.7391165,-47.6482136
Rua Anália Franco,Vila Regente Feijó,70,2,2,Apartamento,5500,6354,-21.183899,-47.8234456
Rua Marius,Vila Celeste,84,3,1,Apartamento,2200,3144,-21.130171,-42.379128
Rua Princesa Isabel,Brooklin Paulista,38,1,0,Apartamento,2160,3151,-29.9368169,-51.0853572
Rua Chácara do Carvalho,Campos Elíseos,35,1,0,Apartamento,1800,2719,-23.5310719,-46.6515072
Rua Ancara,Utinga,51,2,1,Apartamento,2100,2618,-23.6204339,-46.5408081
Rua Costa Barros,Vila Alpina,70,3,1,Apartamento,2300,2730,-23.5956639,-46.5578731
Rua Alfredo Pujol,Santana,25,1,0,Studio e kitnet,2100,2598,-23.5001965,-46.6310225
Avenida Salgado Filho,Centro,45,2,1,Apartamento,1736,2137,-23.465254,-46.530225
Rua Frei Caneca,Consolação,25,1,0,Studio e kitnet,2800,3393,-23.5531867,-46.6521291
Rua Leôncio da Costa Vieira,Jardim Piqueroby,28,1,0,Studio e kitnet,2500,2726,-23.5722182,-46.5290265
Rua Rodesia,Alto de Pinheiros,35,1,1,Apartamento,2550,3539,-23.5507606,-46.6898068
Rua Newton Prado,Bom Retiro,62,3,1,Apartamento,2100,2800,-23.5213403,-46.6418365
Rua Sebastião Bach,Vila Leopoldina,106,4,1,Casa,4000,4359,-23.5243058,-46.7344962
Avenida Engenheiro Heitor Antônio Eiras Garcia,Jardim Esmeralda,41,2,0,Apartamento,1800,2209,-23.582771,-46.7497805
Rua Voluntários da Pátria,Santana,30,1,0,Studio e kitnet,2010,2977,-23.50522,-46.6262536
Rua Piraçununga,Vila Bertioga,50,2,2,Apartamento,2335,3435,-23.5663794,-46.5801169
Avenida Aratãs,Indianópolis,48,1,1,Apartamento,2300,2830,-23.6100849,-46.6620836
Travessa dos Manacás,Parque Assunção,54,2,0,Apartamento,1350,1442,-27.6060919,-48.5258509
Rua Estero Belaco,Vila da Saúde,58,2,1,Apartamento,1950,2985,-23.6168874,-46.63259
Rua Fradique Coutinho,Pinheiros,28,1,1,Studio e kitnet,3570,4224,-23.562644,-46.6868335
Rua Doutor Eduardo de Souza Aranha,Vila Nova Conceição,80,2,1,Apartamento,4000,5159,-23.5878889,-46.6717496
Rua Correia Dias,Paraíso,22,1,0,Apartamento,3400,3916,-23.5766041,-46.6400087
Rua Major Rubéns Florentino Vaz,Vila Pirajussara,16,1,0,Studio e kitnet,2100,2181,-23.5720146,-46.717263
Avenida Carinas,Indianópolis,52,2,1,Apartamento,4700,6006,-23.6151726,-46.6639862
Rua Xingu,Vila Valparaíso,70,2,1,Apartamento,2750,3535,-23.6714605,-46.5514111
Avenida Monteiro Lobato,Vila Miriam,53,2,1,Apartamento,1800,2272,-19.4673433,-42.5617057
Rua Refinaria Mataripe,Vila Antonieta,68,3,1,Apartamento,1650,2313,-23.5706302,-46.5119666
Rua Adolfo Gordo,Campos Elíseos,28,1,1,Apartamento,1800,2311,-5.8251499,-35.2342187
Rua São Vicente de Paulo,Santa Cecília,30,1,1,Apartamento,1575,2305,-23.5393446,-46.6566677
Rua Sansão Alves dos Santos,Cidade Monções,44,2,1,Apartamento,3000,4385,-23.6044702,-46.694538
Rua Princesa Isabel,Vila Guiomar,98,3,2,Apartamento,2300,2499,-23.6561418,-46.5437092
Rua Eugênio de Medeiros,Pinheiros,97,3,2,Apartamento,12000,13620,-23.5703061,-46.7001637
Rua Valê de Amoreira,Jardim Miriam,15,1,0,Studio e kitnet,750,829,-23.6783889,-46.6318962
Rua Celso Ramos,Vila Andrade,69,3,2,Apartamento,3150,3899,-23.6271985,-46.7467432
Avenida Cipriano Rodrigues,Vila Formosa,39,2,1,Apartamento,1800,2319,-23.5757295,-46.5287291
Alameda Joaquim Eugênio de Lima,Jardim Paulista,58,1,0,Apartamento,5000,6625,-23.5667161,-46.6513978
Rua Ministro Genésio de Almeida Moura,Vila Nova Mazzei,38,2,0,Casa,2000,2185,-23.4579368,-46.5923986
Rua Borges Lagoa,Vila Clementino,23,1,0,Studio e kitnet,1020,1713,-23.5972377,-46.6412485
Rua Cristiano Viana,Cerqueira César,90,1,1,Apartamento,4500,6579,-23.5580046,-46.6780258
Rua Correia Dias,Paraíso,25,1,0,Studio e kitnet,4000,4061,-23.5766041,-46.6400087
Rua Girassol,Vila Madalena,24,1,0,Apartamento,2800,3513,-23.5495771,-46.69301901947137
Rua Lauriano Fernandes Júnior,Vila Leopoldina,90,2,1,Apartamento,5500,6402,-23.5201766,-46.7310803
"Rua Topázio, 701 - Vila Mariana, São Paulo - Sp, Brasil",Vila Mariana,33,1,1,Studio e kitnet,3000,3868,-23.5763217,-46.6351251
Rua Joaquim Guarani,Jardim das Acacias,20,1,0,Apartamento,2750,3313,-23.6273931,-46.691385
Rua Bonifácio Veronese,Jardim Jaqueline,54,2,1,Apartamento,1800,2269,-23.5958959,-46.7512297
Caraíbas,Perdizes,70,3,1,Apartamento,4800,6084,-23.5293977,-46.6802561
Rua Marquês Itu,Vila Buarque,30,1,1,Studio e kitnet,2200,2884,-23.5438283,-46.6470607
Rua Djalma Coelho,Sumarezinho,39,1,1,Apartamento,4500,5583,-23.5471948,-46.6957247
Rua Bueno Brandão,Moema,25,1,0,Studio e kitnet,3850,4967,-23.5911619,-46.6697407
Rua Cardoso de Almeida,Perdizes,33,1,1,Apartamento,2700,3380,-23.5519203,-46.6758944
Avenida General Olímpio da Silveira,Santa Cecília,78,2,1,Apartamento,2570,3515,-23.5319428,-46.6587402
Avenida do Rio Bonito,Socorro,53,3,1,Casa,2400,3586,-23.6907238,-46.7015562
Rua Nelson Gama de Oliveira,Vila Andrade,67,2,1,Apartamento,2600,3638,-23.631629,-46.7366809
Rua Antônio Morais Barros,Vila Zilda,87,2,2,Apartamento,5000,6093,,
Rua Paim,Bela Vista,45,2,1,Apartamento,4000,4945,-23.5548176,-46.6490388
Rua Batataes,Jardim Paulista,32,1,1,Studio e kitnet,2594,4010,-23.5714135,-46.6561708
Rua Narain Singh Luschini,Parque Continental Ii,56,2,1,Apartamento,1200,1633,-23.4239265,-46.5502927
Avenida Amador Bueno da Veiga,Penha de França,35,1,1,Studio e kitnet,1300,1590,-23.5221576,-46.5307123
Rua Augusta,Consolação,40,1,1,Apartamento,3300,4888,-23.5556542,-46.6576028
Rua Intendência,Brás,85,2,0,Apartamento,1900,2374,-23.5344382,-46.5953095
Rua Abraão Miguel do Carmo,Vila Monte Alegre,97,3,2,Apartamento,2961,4297,-23.6320707,-46.6341177
Rua Frederico Abranches,Vila Buarque,35,1,1,Apartamento,1900,2614,-23.538894,-46.6513228
Rua Ernesto de Oliveira,Jardim Vila Mariana,77,3,2,Apartamento,3300,5342,-23.5923318,-46.6259157
Rua Gaspar Lourenço,Vila Mariana,32,1,0,Apartamento,2750,3226,-23.5825623,-46.63079
Rua Osório Duque Estrada,Paraíso,44,1,1,Studio e kitnet,6500,7608,-19.8281678,-43.9449886
Rua Laranjal do Jari,Vila Pirituba,49,2,1,Apartamento,1650,2350,-23.4772051,-46.744181
Avenida Flor de Vila Formosa,Vila Formosa,48,2,0,Apartamento,1400,1534,-23.5663648,-46.5361242
Rua Fernandes Moreira,Chácara Santo Antônio (zona Sul),95,3,2,Apartamento,7100,8563,-23.6310663,-46.704294
Rua Eulo Maroni,Vila Lageado,59,2,1,Apartamento,1600,2340,-23.5511418,-46.7471299
Rua Luís Correia de Melo,Santo Amaro,70,2,1,Apartamento,9000,10240,-23.634096,-46.7141834
Rua Barata Ribeiro,Bela Vista,24,1,0,Studio e kitnet,4200,5062,-23.5558529,-46.6505512
Rua Quatiguá,Vila Ivone,33,1,0,Apartamento,1100,1387,-23.5801927,-46.5510795
Rua Professor Alves Pedroso,Cangaiba,48,2,1,Apartamento,1000,1592,-23.5023258,-46.5233481
Rua Oscar Freire,Pinheiros,60,2,0,Apartamento,2900,3701,-23.5577926,-46.6738109
Rua Bahia,Higienópolis,48,1,1,Apartamento,4600,5927,-20.2814928,-50.2555498
Rua Tenente Otávio Gomes,Aclimação,35,1,0,Apartamento,1051,1331,-23.5632569,-46.6332588
Rua Gama Lobo,Vila Dom Pedro I,38,1,1,Apartamento,3200,4275,-23.6035028,-46.6115247
Rua João Moura,Pinheiros,75,2,2,Apartamento,12000,13700,-23.5537397,-46.6824136
Avenida Professor Luiz Ignácio Anhaia Mello,Vila Graciosa,34,1,0,Studio e kitnet,1200,1547,-23.592198,-46.5411463
Rua Pedro Inacio de Araujo,Vila São Silvestre,75,3,2,Apartamento,2500,3653,-23.5634865,-46.7555324
Rua Doutor Cesário Mota Júnior,Vila Buarque,26,1,0,Studio e kitnet,2070,2710,-23.5456199,-46.6489416
Rua José Kauer,Brás,35,1,0,Apartamento,1800,2266,-23.5371173,-46.6042185
Avenida Rangel Pestana,Jardim Brasília (zona Norte),35,1,0,Apartamento,1800,2149,-23.5407637,-46.6130207
